Year,Data USLR Jastram 1977 Long Bond Index Constructed Data from Macaulay 1938 and Economic Report of the President 1947=100 Dividend Yield Shiller 10 yr govt bond 1947=100 =ib(1947) since wpi =100 in 194,Jastram 1977,Long Bond Index Constructed Data from Macaulay 1938 and Economic Report of the President,1947=100,Data USLR Jastram 1977 Long Bond Index Constructed Data from Macaulay 1938 and Economic Report of the President 1947=100 Dividend Yield Shiller 10 yr govt bond 1947=100 =ib(1947) since wpi =100 in 194,Data USLR Jastram 1977 Long Bond Index Constructed Data from Macaulay 1938 and Economic Report of the President 1947=100 Dividend Yield Shiller 10 yr govt bond 1947=100 =ib(1947) since wpi =100 in 194,Dividend Yield,Shiller 10 yr govt bond,1947=100,=ib(1947) since wpi =100 in 1947
,S042A,S042B,S042C,S042D,S042E,S042F,S042G,S042H,S042I,S042
1780,82.03592814371258,115.04847986852918,,,,,,,,
1781,66.46706586826348,93.21446179129006,,,,,,,,
1782,72.45508982035929,101.61216105176666,,,,,,,,
1783,63.473053892215574,89.01561216105178,,,,,,,,
1784,61.07784431137724,85.65653245686113,,,,,,,,
1785,58.08383233532935,81.45768282662286,,,,,,,,
1786,55.02994011976048,77.1748562037798,,,,,,,,
1787,54.01197604790419,75.74724732949878,,,,,,,,
1788,51.616766467065865,72.38816762530814,,,,,,,,
1789,51.1377245508982,71.71635168447001,,,,,,,,
1790,53.053892215568865,74.40361544782253,,,,,,,,
1791,54.49101796407186,76.4190632703369,,,,,,,,
1792,55.50898203592815,77.84667214461793,,,,,,,,
1793,57.4251497005988,80.53393590797043,,,,,,,,
1794,63.712574850299404,89.35152013147083,,,,,,,,
1795,72.87425149700599,102.2,,,,,,,,
1796,76.7065868263473,107.57452752670503,,,,,,,,
1797,73.83233532934132,103.54363188167626,,,,,,,,
1798,71.37724550898204,100.10057518488087,,,,,,,,
1799,71.37724550898204,100.10057518488087,,,,,,,,
1800,72.87425149700599,102.2,,,,,,,59.59183673469388,
1801,73.83233532934132,112.6,,,,,,,65.65597667638484,
1802,62.215568862275454,92.8,,,,,,,54.11078717201166,
1803,65.62874251497006,93.5,,,,,,,54.518950437317784,
1804,68.50299401197606,100.0,,,,,,,58.309037900874635,
1805,68.02395209580838,111.9,,,,,,,65.24781341107872,
1806,70.89820359281437,106.3,,,,,,,61.98250728862974,
1807,67.06586826347305,103.1,,,,,,,60.116618075801746,
1808,72.87425149700599,91.3,,,,,,,53.23615160349854,
1809,71.37724550898204,103.1,,,,,,,60.116618075801746,
1810,71.37724550898204,103.8,,,,,,,60.524781341107875,
1811,76.22754491017965,100.0,,,,,,,58.309037900874635,
1812,77.18562874251498,103.8,,,,,,,60.524781341107875,
1813,92.63473053892216,128.5,,,,,,,74.92711370262391,
1814,101.79640718562875,144.4,,,,,,,84.19825072886297,
1815,89.28143712574851,134.8,,,,,,,78.60058309037902,
1816,81.55688622754491,119.7,,,,,,,69.79591836734694,
1817,77.18562874251498,119.7,,,,,,,69.79591836734694,
1818,73.83233532934132,116.6,,,,,,,67.98833819241983,
1819,73.83233532934132,99.1,,,,,,,57.78425655976677,
1820,68.02395209580838,84.1,,,,,,,49.03790087463557,
1821,65.62874251497006,84.1,,,,,,,49.03790087463557,
1822,68.02395209580838,84.1,,,,,,,49.03790087463557,
1823,60.77844311377246,81.6,,,,,,,47.580174927113696,
1824,55.98802395209581,77.8,,,,,,,45.36443148688047,
1825,57.4251497005988,81.6,,,,,,,47.580174927113696,
1826,57.4251497005988,78.5,,,,,,,45.77259475218659,
1827,57.90419161676647,77.8,,,,,,,45.36443148688047,
1828,55.02994011976048,76.9,,,,,,,44.8396501457726,
1829,54.01197604790419,76.2,,,,,,,44.43148688046647,
1830,53.53293413173653,72.2,,,,,,,42.09912536443149,
1831,50.17964071856289,74.4,,,,,,,43.381924198250736,
1832,49.70059880239522,75.3,,,,,,,43.9067055393586,
1833,48.74251497005988,75.3,,,,,,,43.9067055393586,
1834,49.70059880239522,71.3,,,,,,,41.57434402332362,
1835,51.1377245508982,79.4,,,,,,,46.29737609329447,
1836,54.01197604790419,90.4,,,,,,,52.71137026239067,
1837,55.50898203592815,91.3,,,,,,,53.23615160349854,
1838,54.01197604790419,87.2,,,,,,,50.84548104956268,
1839,54.01197604790419,88.8,,,,,,,51.778425655976676,
1840,50.17964071856289,75.3,,,,,,,43.9067055393586,
1841,50.658682634730546,72.9,,,,,,,42.507288629737616,
1842,47.30538922155689,65.0,,,,,,,37.90087463556851,
1843,42.93413173652695,59.4,,,,,,,34.63556851311953,
1844,43.41317365269461,61.0,,,,,,,35.56851311953353,
1845,43.89221556886228,65.9,,,,,,,38.42565597667639,
1846,44.37125748502994,65.9,,,,,,,38.42565597667639,
1847,47.78443113772455,71.3,,,,,,,41.57434402332362,
1848,45.808383233532936,65.0,,,,,,,37.90087463556851,
1849,44.37125748502994,65.0,,,,,,,37.90087463556851,
1850,45.32934131736527,66.6,,,,,,,38.8338192419825,
1851,44.37125748502994,65.9,,,,,,,38.42565597667639,
1852,44.85029940119761,69.7,,,,,,,40.64139941690962,
1853,44.85029940119761,76.9,,,,,,,44.8396501457726,
1854,48.74251497005988,85.7,,,,,,,49.970845481049565,
1855,50.17964071856289,87.2,,,,,,,50.84548104956268,
1856,49.22155688622755,83.2,,,,,,,48.5131195335277,
