h,xr,H,XR,l,mpl,a,mk
0,,0,0,,,,
1,3.55,1,3.55,0.28,3.55,0.30,3.944
2,4.60,2,9.20,0.22,5.65,0.30,1.522
3,5.55,3,16.65,0.18,7.45,0.30,0.841
4,6.40,4,25.60,0.16,8.95,0.30,0.547
5,7.15,5,35.75,0.14,10.15,0.30,0.392
6,7.80,6,46.80,0.13,11.05,0.30,0.299
7,8.35,7,58.45,0.12,11.65,0.30,0.240
8,8.80,8,70.40,0.11,11.95,0.30,0.199
9,9.15,9,82.35,0.11,11.95,0.30,0.170
10,9.40,10,94.00,0.11,11.65,0.30,0.149
11,9.55,11,105.05,0.10,11.05,0.30,0.133
12,9.60,12,115.20,0.10,10.15,0.30,0.122
13,9.55,13,124.15,0.10,8.95,0.30,0.113
14,9.40,14,131.60,0.11,7.45,0.30,0.106
15,9.15,15,137.25,0.11,5.65,0.30,0.102
16,8.80,16,140.80,0.11,3.55,0.30,0.099
17,8.35,17,141.95,0.12,1.15,0.30,0.099
18,7.80,18,140.40,0.13,-1.55,0.30,0.100
19,7.15,19,135.85,0.14,-4.55,0.30,0.103
20,6.40,20,128.00,0.16,-7.85,0.30,0.109
