sid,chapter,classification_system,industry_scheme_detail,needs_crosswalk_for_extension,official_source_table
S213,CH07/CH02,ISIC Rev3 (OECD ISDB/STAN),OECD ISIC sector codes; ISDB 1994 discontinued -> STAN,TRUE,NOT STAGED (_sources/naics is US-only); UN ISIC Rev3->Rev4 correspondence external
S214,CH02,ISIC Rev3->Rev4 (OECD STAN),STAN ISIC Rev3->Rev4 + NAICS crosswalk for modern extension (deferred),TRUE,NOT STAGED (_sources/naics is US-only); UN ISIC Rev3->Rev4 correspondence external
S215,CH02,BEA IO / SIC->NAICS,SIC->NAICS 1992/1997 hard break; pre-1997 benchmarks not a time series,TRUE,SCB Dec 2002 App.A / SCB Aug 2018 App.A (URL only; SOURCES.md) + _sources/naics/ (Census)
S216,CH02,Maddison country scheme,"1990 GK -> 2011 PPP base + region reaggregation (rebase, not industry)",FALSE,Maddison Project 2023 region/base rebase (not an industry crosswalk); CH02 timeline
S217,CH02,Maddison country scheme,"MPD 2003->2023 base/region discontinuity (rebase, not industry)",FALSE,Maddison Project 2023 region/base rebase (not an industry crosswalk); CH02 timeline
S218,CH02,Maddison country scheme,1990 GK->2011 PPP base shift; ratio base-invariant; re-rank full MPD2023,FALSE,Maddison Project 2023 region/base rebase (not an industry crosswalk); CH02 timeline
S210,CH02,BLS source-code (WPI->PPI),"WPI->PPI rename, WPS->WPU renumber/rebase (source-code, not industry)",FALSE,within-agency source-code remap (see chapter methodology); NOT an industry crosswalk
S211,CH02,BLS source-code (WPI->PPI),latent WPI->PPI never reached (stops pre-1940),FALSE,within-agency source-code remap (see chapter methodology); NOT an industry crosswalk
S212,CH02,BLS/ONS source-code,"WPI->PPI + ONS PLLU rebase (source-code, not industry)",FALSE,within-agency source-code remap (see chapter methodology); NOT an industry crosswalk
S501,CH05,BLS source-code (WPI->PPI),latent WPS->WPU; stops 1940 inside Jastram archive,FALSE,within-agency source-code remap (see chapter methodology); NOT an industry crosswalk
S502,CH05,BLS/ONS source-code,live WPS->WPU/PPIACO splice; ONS PLLU rebase,FALSE,within-agency source-code remap (see chapter methodology); NOT an industry crosswalk
S503,CH05,ONS/LBMA source-code,ONS PLLU rebase; LBMA 2015 gold-fixing reform anchor,FALSE,within-agency source-code remap (see chapter methodology); NOT an industry crosswalk
S504,CH05,BLS/LBMA source-code,WPS->WPU numerator; LBMA 2015 reform splice,FALSE,within-agency source-code remap (see chapter methodology); NOT an industry crosswalk
S601,CH06,NIPA T7.11 line-label + FA legal-form,T7.11 FISIM stub-label vintage resolver; corporate/noncorporate split,TRUE,NIPA_T711_FISIM_remap.md + code/L01_loaders/_nipa_t711_line_resolver.py; NIPA_CHANGE_TIMELINE.md
S602,CH06,NIPA T7.11 line-label + FA legal-form,T7.11 FISIM (NMINT); FA legal-form KNC/KGC; IRS-SOI inventory scaling,TRUE,NIPA_T711_FISIM_remap.md + code/L01_loaders/_nipa_t711_line_resolver.py; NIPA_CHANGE_TIMELINE.md
S603,CH06,NIPA T7.11 line-label + FA legal-form,T7.11 FISIM; BEA-vs-GPIM capital concordance; IRS-SOI inventory,TRUE,NIPA_T711_FISIM_remap.md + code/L01_loaders/_nipa_t711_line_resolver.py; NIPA_CHANGE_TIMELINE.md
S604,CH06,FA legal-form + NIPA T7.11,FA T6.7 legal-form -> corporate share of T5.3.5; T7.11 adjusted numerator,TRUE,BEA Fixed Asset Tables legal-form split; FA T6.7 (no CSV crosswalk staged)
S701,CH07,Pre-SIC US (Salter),Pre-SIC US categories below the 1987-SIC chain; irrecoverable wall; frozen exhibit,FALSE,IRRECOVERABLE (pre-1997 tables frozen; IO_CHANGE_TIMELINE.md)
