scheme_id,family,vintage_year,authority,staged_in_project,frozen,notes
1987_SIC,SIC,1987,US Census,TRUE,FALSE,"Anchor of the staged SIC->NAICS bridge (_sources/naics/1987_SIC_to_1997_NAICS.csv). SIC discontinued after 1997 but the crosswalk is staged; used by ch8 (S801-S805) SIC-era concentration and ch9 SIC-basis benchmarks. classification_vintage token for pre-1997 SIC industry data = SIC71 where Ochoa-71 order applies."
1997_NAICS,NAICS,1997,US Census,TRUE,FALSE,"First NAICS vintage = the ch7/ch9 wall (first NAICS benchmark). Anchor of the ch7 30-industry NAICS-native panel (S705/S706/S709/S710). Staged revision chain _sources/naics/. classification_vintage = NAICS_1997."
2002_NAICS,NAICS,2002,US Census,TRUE,FALSE,"NAICS 2002 revision; staged forward/reverse bridges to 1997 and 2007. classification_vintage = NAICS_2002."
2007_NAICS,NAICS,2007,US Census,TRUE,FALSE,"NAICS 2007 revision; staged bridges to 2002 and 2012. classification_vintage = NAICS_2007."
2012_NAICS,NAICS,2012,US Census,TRUE,FALSE,"NAICS 2012 revision; staged bridges to 2007 and 2017. classification_vintage = NAICS_2012."
2017_NAICS,NAICS,2017,US Census,TRUE,FALSE,"NAICS 2017 revision; staged bridges to 2012 and 2022. Most recent BEA benchmark I-O basis (2017 harmonized update). classification_vintage = NAICS_2017."
2022_NAICS,NAICS,2022,US Census,TRUE,FALSE,"NAICS 2022 revision; most recent live extension target. Staged bridge to 2017. classification_vintage = NAICS_2022."
OCHOA_71,BEA_IO,1972,BEA / Ochoa (1984),FALSE,TRUE,"Ochoa 71-order I-O compilation on 1957/1972-SIC basis; ch9 1947/1958/1963/1967/1972 frozen cross-sections (S901/S902/S903). classification_vintage = SIC71. NOT conformable to the NAICS-era 65-order; 1972->1998 gap not a continuous panel. Concordance is SCB PDF URL only (not staged CSV)."
BEA_65,BEA_IO,1997,BEA,FALSE,FALSE,"BEA 65-order NAICS-vintage industry-by-industry Use table (1998 benchmark); ch9 S901/S902/S903 1998C/1998F cross-sections. classification_vintage = NAICS65. Real-estate column OOH-corrected via NIPA T7.12 lines 133-134. I-O<->NAICS concordance is SCB Dec 2002 App.A (URL only, not staged CSV)."
ISIC_REV3,ISIC,2002,UN / OECD,FALSE,TRUE,"OECD STAN/ISDB book-period basis (ch2 S213/S214; ch7 S703/S704/S711). Superseded by Rev4; book period reproduced on Rev3. UN ISIC Rev3->Rev4 correspondence is external, NOT staged (_sources/naics is US-only)."
ISIC_REV4,ISIC,2008,UN / OECD,FALSE,FALSE,"Live international extension target (OECD STAN 2025). Rev3->Rev4 correspondence external and NOT staged; extension of S711/S703/S704 blocked pending import of the UN/OECD crosswalk (build-spec backlog P4)."
UK_SIC_1958,UK_SIC,1958,ONS,FALSE,TRUE,"Salter (1969) Table 28/33 row label; ch7 S702 (UK 1954-63). Used only as a ROW LABEL, not operationalised. UK SIC1958->2007 is a hard break; not staged (RSCD stages US Census SIC-NAICS only)."
SALTER_PRE_SIC,PRE_SIC,1969,Salter (1969),FALSE,TRUE,"Pre-SIC US industry categories from Salter (1969); ch7 S701 (US 1923-50). Below the 1987-SIC chain; irrecoverable wall; frozen cross-sectional exhibit (not extensible by design)."
BAIN_1935_CENSUS,PRE_SIC,1935,US Census (1935),FALSE,TRUE,"SIC-precursor 1935 Census concentration categories; ch8 S803 (Bain 1935, CR8). Below the 1987-SIC chain; irrecoverable + Demsetz regroup; frozen exhibit."
GREEK_ISIC_NACE,NACE,2010,ESYE/ELSTAT,FALSE,TRUE,"Greek ISIC->NACE Rev2 (ESYE->ELSTAT 2010 reorganisation); ch7 S707/S708. Classification NOT operationalised (figure recovery only); external, not staged; frozen historical exhibit."
T7.11,NIPA_LINE,2024,BEA,TRUE,FALSE,"FISIM interest line-label resolver: 10 recipe rows x pinned vintages 2011/2018/2024 in line_label_index.csv + code/L01_loaders/_nipa_line_resolver.py. Vintage-stable by BEA LineDescription stub label. Serves XS003/S601-604/S1007/S1008/S1604."
T7.12,NIPA_LINE,2011,BEA,FALSE,FALSE,"Owner-occupied-housing (OOH) imputation strip; 5 seed rows (lines 133/134/135/136/140) at 2011 vintage in line_label_index.csv. Serves ch9 real-estate correction + ch7 S705/706/709/710 OOH removal. Exact BEA captions + any 2018 line shift UNVERIFIED (S705_research.json:126) -> staged as SEED ONLY (confidence derived), backlog: verify against BEA T7.12 PDF."
T1.10,NIPA_LINE,2024,BEA,TRUE,FALSE,"Wage-share numerator: line 2 = Compensation of employees = FRED W209RC1 (line 2 stable across the 2018 update). Serves ch14 S1401/S1403. In line_label_index.csv."
T2.1,NIPA_LINE,2011,BEA,TRUE,FALSE,"DPI denominator (line 27 = FRED DPI) for ch16 S1605; plus the guarded-against wage&salary line (FRED A576RC1) that _ch14_helpers rejects. In line_label_index.csv (wage&salary line# indicative/derived)."
Z1_D3,FED_LINE,2011,Federal Reserve,TRUE,FALSE,"Fed Financial Accounts Table D.3 line 2 = FRED HCCSDODNS (household debt), ch16 S1605 numerator. In line_label_index.csv; caption derived, FRED id verified."
